C:\Users\somas\anaconda3\envs\finguard\python.exe C:\Users\somas\PycharmProjects\FinGuardPro\models\tune_lightgbm.py 
[I 2025-07-08 13:27:38,526] A new study created in memory with name: no-name-5a93db58-8e4d-4f03-bbed-25214ef868a7
[I 2025-07-08 13:28:43,774] Trial 14 finished with value: 0.9958246706974656 and parameters: {'learning_rate': 0.050662928403310076, 'num_leaves': 22, 'max_depth': 10, 'feature_fraction': 0.6760881017081121, 'bagging_fraction': 0.7289313853366911, 'bagging_freq': 6, 'min_child_samples': 68, 'lambda_l1': 2.052166777251526, 'lambda_l2': 3.9958215202555305}. Best is trial 10 with value: 0.9961015182980788.
[I 2025-07-08 13:28:48,927] Trial 15 finished with value: 0.9961064860797203 and parameters: {'learning_rate': 0.07714601198058056, 'num_leaves': 70, 'max_depth': 7, 'feature_fraction': 0.6959332452210685, 'bagging_fraction': 0.8078306896461536, 'bagging_freq': 1, 'min_child_samples': 90, 'lambda_l1': 3.4772904543951504, 'lambda_l2': 4.366364581728085}. Best is trial 15 with value: 0.9961064860797203.
[I 2025-07-08 13:28:53,177] Trial 16 finished with value: 0.9955524138045482 and parameters: {'learning_rate': 0.14683466036223225, 'num_leaves': 117, 'max_depth': 6, 'feature_fraction': 0.7004941591254201, 'bagging_fraction': 0.8224840034231307, 'bagging_freq': 6, 'min_child_samples': 61, 'lambda_l1': 3.556634696760451, 'lambda_l2': 4.1515133226177525}. Best is trial 15 with value: 0.9961064860797203.
[I 2025-07-08 13:28:57,217] Trial 17 finished with value: 0.9960351468451826 and parameters: {'learning_rate': 0.0329523169838093, 'num_leaves': 53, 'max_depth': 13, 'feature_fraction': 0.6427537026139384, 'bagging_fraction': 0.6739248904380528, 'bagging_freq': 5, 'min_child_samples': 90, 'lambda_l1': 4.124869684600402, 'lambda_l2': 2.090659702891585}. Best is trial 15 with value: 0.9961064860797203.
[I 2025-07-08 13:29:03,578] Trial 18 finished with value: 0.9960020355124339 and parameters: {'learning_rate': 0.08950629459972907, 'num_leaves': 78, 'max_depth': 10, 'feature_fraction': 0.7302524082390076, 'bagging_fraction': 0.8142987956323681, 'bagging_freq': 2, 'min_child_samples': 83, 'lambda_l1': 2.064029571865679, 'lambda_l2': 3.565172087416101}. Best is trial 15 with value: 0.9961064860797203.
[I 2025-07-08 13:29:08,082] Trial 19 finished with value: 0.9946171601105697 and parameters: {'learning_rate': 0.18027447982305947, 'num_leaves': 40, 'max_depth': 9, 'feature_fraction': 0.8423286676000213, 'bagging_fraction': 0.7169247819609993, 'bagging_freq': 2, 'min_child_samples': 90, 'lambda_l1': 3.283609894398335, 'lambda_l2': 4.504195123359266}. Best is trial 15 with value: 0.9961064860797203.
[I 2025-07-08 13:29:12,721] Trial 20 finished with value: 0.9958794008945351 and parameters: {'learning_rate': 0.033415945339223235, 'num_leaves': 58, 'max_depth': 14, 'feature_fraction': 0.6028029138005001, 'bagging_fraction': 0.7619309619971235, 'bagging_freq': 7, 'min_child_samples': 67, 'lambda_l1': 4.947639103284608, 'lambda_l2': 3.7014050089357147}. Best is trial 15 with value: 0.9961064860797203.
[I 2025-07-08 13:29:17,252] Trial 21 finished with value: 0.9961063994770936 and parameters: {'learning_rate': 0.060681331190268195, 'num_leaves': 63, 'max_depth': 8, 'feature_fraction': 0.6750340823932183, 'bagging_fraction': 0.8045869973105917, 'bagging_freq': 1, 'min_child_samples': 100, 'lambda_l1': 2.327976256963283, 'lambda_l2': 4.609243387755452}. Best is trial 15 with value: 0.9961064860797203.
[I 2025-07-08 13:29:21,273] Trial 22 finished with value: 0.9961404552733711 and parameters: {'learning_rate': 0.06960676786720621, 'num_leaves': 61, 'max_depth': 7, 'feature_fraction': 0.649681006878156, 'bagging_fraction': 0.8109607874146977, 'bagging_freq': 1, 'min_child_samples': 94, 'lambda_l1': 2.3182117741319908, 'lambda_l2': 4.5238447012943395}. Best is trial 22 with value: 0.9961404552733711.
[I 2025-07-08 13:29:25,783] Trial 23 finished with value: 0.9960809679287023 and parameters: {'learning_rate': 0.08004361476032183, 'num_leaves': 84, 'max_depth': 7, 'feature_fraction': 0.6655648757174205, 'bagging_fraction': 0.8321842580339223, 'bagging_freq': 2, 'min_child_samples': 92, 'lambda_l1': 2.3827444479401634, 'lambda_l2': 4.4726145634823355}. Best is trial 22 with value: 0.9961404552733711.
[I 2025-07-08 13:29:29,729] Trial 24 finished with value: 0.995971543876313 and parameters: {'learning_rate': 0.07807318155346042, 'num_leaves': 39, 'max_depth': 6, 'feature_fraction': 0.7191025574666884, 'bagging_fraction': 0.8037466774535326, 'bagging_freq': 4, 'min_child_samples': 81, 'lambda_l1': 1.664976438341289, 'lambda_l2': 3.8241946605018846}. Best is trial 22 with value: 0.9961404552733711.
[I 2025-07-08 13:29:33,854] Trial 25 finished with value: 0.9960855493644314 and parameters: {'learning_rate': 0.03876912149266293, 'num_leaves': 54, 'max_depth': 8, 'feature_fraction': 0.7549822725556212, 'bagging_fraction': 0.8815648473650837, 'bagging_freq': 1, 'min_child_samples': 92, 'lambda_l1': 2.1602977912882073, 'lambda_l2': 3.3826649909362825}. Best is trial 22 with value: 0.9961404552733711.
[I 2025-07-08 13:29:39,320] Trial 26 finished with value: 0.9959634773268764 and parameters: {'learning_rate': 0.1049571604394333, 'num_leaves': 75, 'max_depth': 9, 'feature_fraction': 0.65418388484748, 'bagging_fraction': 0.9259435226224068, 'bagging_freq': 3, 'min_child_samples': 72, 'lambda_l1': 1.0769998375276013, 'lambda_l2': 4.470891926762892}. Best is trial 22 with value: 0.9961404552733711.
[I 2025-07-08 13:29:43,568] Trial 27 finished with value: 0.9955131838233754 and parameters: {'learning_rate': 0.19356291641286252, 'num_leaves': 88, 'max_depth': 6, 'feature_fraction': 0.6998439444084623, 'bagging_fraction': 0.8530602077826799, 'bagging_freq': 2, 'min_child_samples': 85, 'lambda_l1': 4.010654923681869, 'lambda_l2': 4.07959559664555}. Best is trial 22 with value: 0.9961404552733711.
[I 2025-07-08 13:29:48,113] Trial 28 finished with value: 0.99579376392986 and parameters: {'learning_rate': 0.06663212223707037, 'num_leaves': 150, 'max_depth': 7, 'feature_fraction': 0.831909933905446, 'bagging_fraction': 0.7858912657843176, 'bagging_freq': 5, 'min_child_samples': 94, 'lambda_l1': 3.1813890980519206, 'lambda_l2': 0.9958035024766998}. Best is trial 22 with value: 0.9961404552733711.
[I 2025-07-08 13:29:53,053] Trial 29 finished with value: 0.9959799899085067 and parameters: {'learning_rate': 0.025156045651566865, 'num_leaves': 109, 'max_depth': 11, 'feature_fraction': 0.7674082007037777, 'bagging_fraction': 0.9120017779803147, 'bagging_freq': 1, 'min_child_samples': 57, 'lambda_l1': 1.6429658098806623, 'lambda_l2': 4.60470598203428}. Best is trial 22 with value: 0.9961404552733711.
[I 2025-07-08 13:29:56,578] Trial 30 finished with value: 0.9956618335674652 and parameters: {'learning_rate': 0.040780224589690425, 'num_leaves': 44, 'max_depth': 5, 'feature_fraction': 0.7929883787216158, 'bagging_fraction': 0.8029737473815758, 'bagging_freq': 2, 'min_child_samples': 78, 'lambda_l1': 2.389822591729847, 'lambda_l2': 2.2573307537989784}. Best is trial 22 with value: 0.9961404552733711.
