iter	Passed	Remaining
400	24925	37233
401	25098	37334
402	25171	37288
403	25243	37240
404	25317	37195
405	25386	37142
406	25455	37088
407	25531	37045
408	25597	36988
409	25672	36942
410	25744	36894
411	25820	36850
412	25887	36793
413	25950	36731
414	26019	36677
415	26087	36622
416	26157	36570
417	26226	36516
418	26301	36470
419	26367	36412
420	26438	36361
421	26502	36300
422	26570	36244
423	26637	36186
424	26704	36129
425	26782	36086
426	26859	36042
427	26924	35982
428	26994	35929
429	27067	35880
430	27134	35822
431	27202	35766
432	27276	35717
433	27336	35651
434	27404	35594
435	27466	35530
436	27537	35477
437	27603	35418
438	27674	35365
439	27735	35300
440	27796	35234
441	27862	35175
442	27939	35128
443	28005	35069
444	28079	35019
445	28147	34963
446	28213	34903
447	28279	34844
448	28348	34788
449	28418	34733
450	28490	34681
451	28560	34626
452	28630	34571
453	28699	34515
454	28764	34454
455	28830	34394
456	28894	34331
457	28965	34277
458	29030	34217
459	29100	34161
460	29164	34098
461	29236	34046
462	29298	33980
463	29361	33917
464	29427	33857
465	29482	33784
466	29501	33671
467	29521	33559
468	29541	33446
469	29561	33335
470	29578	33221
471	29597	33109
472	29615	32996
473	29632	32883
474	29650	32771
475	29671	32663
476	29691	32554
477	29711	32446
478	29729	32336
479	29745	32223
480	29761	32112
481	29776	32000
482	29792	31889
483	29808	31779
484	29825	31670
485	29840	31560
486	29858	31452
487	29877	31346
488	29893	31238
489	29909	31130
490	29925	31022
491	29941	30915
492	29957	30808
493	29975	30704
494	29991	30597
495	30010	30494
496	30042	30404
497	30148	30390
498	30253	30374
499	30308	30308
500	30396	30274
501	30498	30255
502	30574	30210
503	30687	30200
504	30753	30144
505	30821	30090
506	30870	30018
507	30920	29946
508	30969	29874
509	31049	29831
510	31118	29778
511	31252	29787
512	31384	29793
513	31491	29775
514	31536	29699
515	31587	29628
516	31629	29549
517	31671	29470
518	31716	29394
519	31766	29322
520	31809	29245
521	31848	29164
522	31888	29083
523	31930	29005
524	31976	28931
525	32015	28850
526	32059	28774
527	32098	28694
528	32141	28617
529	32184	28540
530	32225	28462
531	32265	28384
532	32310	28309
533	32349	28229
534	32390	28152
535	32431	28074
536	32472	27997
537	32512	27920
538	32555	27844
539	32594	27765
540	32636	27689
541	32680	27615
542	32741	27556
543	32800	27494
544	32844	27420
545	32887	27346
546	32929	27270
547	32972	27196
548	33014	27121
549	33059	27048
550	33099	26972
551	33141	26897
552	33209	26844
553	33284	26796
554	33358	26746
555	33432	26697
556	33499	26643
557	33566	26588
558	33627	26529
559	33690	26471
560	33755	26415
561	33826	26362
562	33890	26305
563	33958	26251
564	34024	26195
565	34086	26136
566	34152	26080
567	34223	26029
568	34295	25977
569	34359	25919
570	34429	25867
571	34503	25816
572	34646	25818
573	34863	25874
574	34974	25850
575	35056	25805
576	35138	25759
577	35247	25734
578	35417	25752
579	35482	25694
580	35549	25637
581	35618	25581
582	35686	25525
583	35745	25462
584	35816	25408
585	35894	25359
586	35958	25299
587	36035	25249
588	36105	25194
589	36182	25143
590	36247	25085
591	36310	25024
592	36377	24967
593	36448	24912
594	36516	24855
595	36588	24801
596	36664	24749
597	36726	24689
598	36795	24632
